iter	Passed	Remaining
245	507	1554
246	508	1549
247	511	1551
248	513	1547
249	514	1542
250	515	1537
251	516	1532
252	517	1527
253	518	1523
254	532	1556
255	534	1552
256	535	1548
257	536	1543
258	537	1538
259	538	1533
260	541	1534
261	543	1530
262	544	1526
263	545	1521
264	546	1516
265	548	1512
266	549	1507
267	549	1502
268	551	1497
269	552	1492
270	553	1488
271	556	1488
272	557	1484
273	559	1481
274	560	1477
275	561	1473
276	563	1469
277	564	1464
278	565	1460
279	566	1455
280	567	1451
281	568	1446
282	570	1444
283	571	1441
284	572	1437
285	573	1432
286	574	1427
287	575	1423
288	576	1419
289	577	1414
290	579	1411
291	580	1406
292	581	1402
293	582	1397
294	583	1393
295	585	1391
296	586	1388
297	587	1384
298	588	1380
299	589	1376
300	591	1372
301	591	1368
302	592	1363
303	594	1360
304	594	1355
305	595	1351
306	596	1347
307	598	1343
308	600	1341
309	601	1339
310	602	1335
311	603	1331
312	604	1327
313	605	1323
314	606	1319
315	608	1316
316	609	1312
317	609	1308
318	610	1304
319	611	1300
320	612	1296
321	614	1294
322	615	1290
323	616	1287
324	617	1283
325	619	1279
326	620	1276
327	620	1272
328	622	1268
329	623	1264
330	624	1261
331	625	1258
332	626	1255
333	636	1268
334	637	1266
335	642	1269
336	645	1269
337	646	1266
338	648	1264
339	649	1261
340	650	1257
341	652	1254
342	653	1250
343	654	1247
344	654	1243
345	655	1239
346	656	1236
347	657	1232
348	658	1229
349	659	1225
350	660	1222
351	662	1219
352	663	1216
353	664	1213
354	665	1209
355	666	1206
356	668	1203
357	669	1199
358	670	1196
359	671	1193
360	672	1190
361	673	1186
362	674	1183
363	675	1179
364	676	1176
365	677	1174
366	678	1170
367	679	1167
368	680	1163
369	681	1160
370	682	1156
371	683	1153
372	684	1150
373	685	1147
374	686	1144
375	687	1140
376	688	1137
377	689	1134
378	691	1132
379	692	1129
380	693	1126
381	694	1123
382	695	1119
383	696	1116
384	697	1113
385	698	1111
386	700	1109
387	701	1107
388	703	1104
389	704	1102
390	706	1100
391	707	1097
392	708	1094
393	709	1091
394	710	1088
395	711	1085
396	712	1082
397	713	1079
398	715	1077
399	717	1075
400	718	1073
401	719	1070
402	720	1067
403	722	1065
404	723	1062
405	724	1059
406	725	1056
407	725	1053
408	727	1050
409	728	1047
410	728	1044
411	729	1041
412	730	1038
413	732	1036
414	733	1033
415	733	1030
416	735	1028
417	736	1025
418	737	1022
419	738	1019
420	739	1017
421	740	1014
422	741	1011
423	742	1008
424	743	1005
425	744	1003
426	745	1000
427	746	997
428	747	994
429	748	992
430	749	989
431	751	987
432	752	985
433	753	982
434	754	979
435	755	976
436	756	974
437	757	971
438	758	969
439	759	966
440	760	963
441	761	961
442	762	958
443	763	955
444	764	953
445	765	951
446	767	949
447	768	946
448	769	944
449	770	941
450	771	938
451	772	936
452	773	933
453	774	931
454	776	929
455	777	927
456	778	925
457	781	924
458	782	922
459	784	920
460	785	918
461	786	915
462	787	913
463	788	911
464	789	908
465	790	906
466	791	903
467	792	901
468	793	898
469	794	896
470	795	893
471	797	891
472	798	889
473	799	886
474	800	884
475	801	881
476	802	879
477	802	876
478	803	874
479	804	872
480	805	869
481	806	867
482	807	864
483	809	862
484	810	860
485	811	858
486	812	856
487	813	853
488	814	851
489	815	849
490	816	846
491	817	844
492	818	841
493	819	839
494	820	837
495	821	834
496	822	832
497	823	830
498	824	828
499	826	826
500	826	823
501	827	821
502	828	818
503	829	816
504	830	814
505	831	811
506	832	809
507	833	807
508	834	804
509	835	802
510	836	800
511	837	797
512	838	795
513	839	793
514	840	792
515	841	789
516	842	787
517	843	785
518	844	783
519	845	780
520	846	778
521	847	776
522	848	774
523	849	771
524	850	769
525	851	767
526	852	765
527	854	763
528	855	761
529	856	759
530	857	757
531	858	754
532	859	752
533	860	750
534	860	748
535	861	746
536	862	743
537	863	741
538	864	739
539	865	737
540	866	735
541	867	733
542	869	732
543	870	730
544	871	727
545	872	725
546	873	723
547	875	721
548	876	720
549	878	718
550	879	716
551	880	714
552	881	712
553	882	710
554	884	709
555	885	707
556	886	705
557	888	703
558	889	701
559	890	699
560	891	697
561	892	695
562	893	693
563	894	691
564	895	689
565	896	687
566	898	685
567	899	684
568	900	682
569	901	680
570	902	678
571	904	676
572	904	674
573	905	672
574	907	670
575	908	668
576	909	666
577	910	664
578	911	662
579	914	661
580	915	660
581	918	659
582	920	658
583	921	656
584	924	655
585	926	654
586	927	652
587	928	650
588	930	649
589	931	647
590	933	645
591	934	643
592	935	641
593	936	639
594	937	637
595	938	636
596	939	634
597	941	632
598	942	631
599	943	629
600	944	627
601	945	625
602	946	623
603	947	621
604	948	619
605	949	617
606	950	615
607	951	613
608	952	611
609	953	609
610	954	607
611	955	605
612	956	603
613	957	602
614	958	600
615	960	598
616	961	596
617	962	594
618	963	592
619	964	591
620	965	589
621	966	587
622	967	585
623	968	583
624	971	582
625	972	580
626	973	579
627	974	577
628	976	575
629	977	573
630	978	572
631	979	570
632	981	569
633	982	567
634	984	566
635	986	564
636	987	562
637	988	560
638	989	559
639	990	557
640	991	555
641	992	553
642	993	551
643	995	550
644	996	548
645	997	546
646	998	544
647	999	543
648	1001	541
649	1002	539
650	1003	538
651	1004	536
652	1005	534
653	1006	532
654	1007	530
655	1008	528
656	1009	526
657	1010	525
658	1011	523
659	1012	521
660	1013	519
661	1015	518
662	1016	516
663	1018	515
664	1019	513
665	1020	511
666	1021	509
667	1022	508
668	1023	506
669	1024	504
670	1025	502
671	1026	500
672	1027	499
673	1029	497
674	1030	496
675	1032	494
676	1033	492
677	1034	491
678	1035	489
679	1036	487
680	1038	486
681	1039	484
682	1041	483
683	1042	481
684	1043	479
685	1044	478
686	1045	476
687	1046	474
688	1047	473
689	1048	471
690	1050	469
691	1051	468
692	1052	466
693	1053	464
694	1054	462
695	1055	461
696	1056	459
697	1057	457
698	1058	455
699	1059	454
700	1060	452
701	1061	450
702	1062	448
703	1063	447
704	1065	445
705	1066	444
706	1068	442
707	1069	440
708	1070	439
709	1071	437
710	1072	435
711	1073	434
712	1074	432
713	1075	430
714	1076	429
715	1077	427
716	1078	425
717	1079	423
718	1080	422
719	1081	420
720	1082	419
721	1084	417
722	1085	415
723	1086	414
724	1087	412
725	1088	410
726	1089	408
727	1090	407
728	1091	405
729	1092	403
730	1093	402
731	1095	401
732	1096	399
733	1097	397
734	1098	396
735	1099	394
736	1100	392
737	1101	391
738	1102	389
739	1103	387
740	1104	386
741	1105	384
742	1106	382
743	1107	381
744	1109	379
745	1110	378
746	1112	376
747	1113	375
748	1114	373
749	1115	371
750	1116	370
751	1118	368
752	1119	367
753	1120	365
754	1122	364
755	1123	362
756	1124	360
757	1126	359
758	1127	357
759	1128	356
760	1129	354
761	1130	353
762	1132	351
763	1133	350
764	1134	348
765	1135	346
766	1136	345
767	1137	343
768	1139	342
769	1141	340
770	1142	339
771	1143	337
772	1144	335
773	1145	334
774	1146	332
775	1147	331
776	1148	329
777	1149	327
778	1149	326
779	1150	324
780	1152	323
781	1153	321
782	1154	319
783	1155	318
784	1156	316
785	1157	315
786	1158	313
787	1159	311
788	1160	310
789	1161	308
790	1162	307
791	1163	305
792	1164	303
793	1165	302
794	1166	300
795	1167	299
796	1168	297
797	1170	296
798	1171	294
799	1172	293
800	1173	291
801	1174	289
802	1175	288
803	1176	286
804	1177	285
805	1178	283
806	1179	282
807	1180	280
808	1181	278
809	1182	277
810	1184	275
811	1185	274
812	1186	273
813	1187	271
814	1188	269
815	1189	268
816	1191	266
817	1192	265
818	1193	263
819	1195	262
820	1196	260
821	1199	259
822	1201	258
823	1202	256
824	1204	255
825	1205	254
826	1207	252
827	1208	250
828	1209	249
829	1210	247
830	1211	246
831	1212	244
832	1215	243
833	1216	242
834	1217	240
835	1218	239
836	1219	237
837	1220	235
838	1221	234
839	1222	232
840	1223	231
841	1224	229
842	1225	228
843	1226	226
844	1228	225
845	1229	223
846	1230	222
847	1231	220
848	1232	219
849	1233	217
850	1234	216
851	1235	214
852	1236	213
853	1237	211
854	1238	210
855	1239	208
856	1240	207
857	1241	205
858	1243	204
859	1244	202
860	1245	201
861	1246	199
862	1247	198
863	1248	196
864	1249	195
865	1250	193
866	1251	192
867	1253	190
868	1254	189
869	1255	187
870	1256	186
871	1257	184
872	1259	183
873	1260	181
874	1261	180
875	1262	178
876	1263	177
877	1264	175
878	1265	174
879	1266	172
880	1267	171
881	1268	169
882	1269	168
883	1270	166
884	1271	165
885	1272	163
886	1274	162
887	1275	160
888	1276	159
889	1276	157
890	1278	156
891	1279	154
892	1280	153
893	1281	151
894	1282	150
895	1283	148
896	1284	147
897	1285	145
898	1287	144
899	1288	143
900	1289	141
901	1290	140
902	1291	138
903	1292	137
904	1293	135
905	1294	134
906	1296	132
907	1297	131
908	1298	129
909	1299	128
910	1300	127
911	1301	125
912	1302	124
913	1303	122
914	1304	121
915	1306	119
916	1307	118
917	1308	116
918	1308	115
919	1309	113
920	1310	112
921	1311	110
922	1312	109
923	1313	108
924	1314	106
925	1315	105
926	1317	103
927	1318	102
928	1319	100
929	1320	99
930	1321	97
931	1321	96
932	1322	95
933	1323	93
934	1324	92
935	1325	90
936	1326	89
937	1327	87
938	1328	86
939	1329	84
940	1330	83
941	1332	82
942	1333	80
943	1334	79
944	1335	77
945	1336	76
946	1337	74
947	1338	73
948	1339	71
949	1340	70
950	1341	69
951	1342	67
952	1343	66
953	1344	64
954	1345	63
955	1346	61
956	1348	60
957	1348	59
958	1350	57
959	1351	56
960	1351	54
961	1353	53
962	1354	52
963	1355	50
964	1355	49
965	1356	47
966	1357	46
967	1358	44
968	1360	43
969	1361	42
970	1362	40
971	1364	39
972	1365	37
973	1366	36
974	1366	35
975	1367	33
976	1368	32
977	1369	30
978	1370	29
979	1371	27
980	1373	26
981	1374	25
982	1375	23
983	1377	22
984	1378	20
985	1379	19
986	1380	18
987	1381	16
988	1382	15
989	1383	13
990	1384	12
991	1385	11
992	1386	9
993	1387	8
994	1388	6
995	1389	5
996	1390	4
997	1391	2
998	1393	1
999	1395	0
